Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024-01-19,Restoran,55.2,Market,BIM
2024-01-29,ATM Çekimi,454.52,ATM,ATM Çekimi
2024-01-02,Restoran,237.1,Fatura Ödemesi,Elektrik
2024-01-29,Ulaşım,243.94,Market,Carrefour
2024-01-29,Restoran,120.11,ATM,ATM Çekimi
2024-01-20,ATM Çekimi,168.77,Market,Carrefour
2024-01-30,Fatura Ödemesi,271.73,Fatura Ödemesi,İnternet
2024-01-18,ATM Çekimi,457.23,Fatura Ödemesi,Su
2024-01-09,Fatura Ödemesi,476.29,Market,Carrefour
2024-01-28,Alışveriş,398.54,Ulaşım,Taksi
2024-01-31,ATM Çekimi,26.21,Restoran,Pizza
2024-01-18,Restoran,216.23,Restoran,Cafe
2024-01-10,Restoran,95.47,Fatura Ödemesi,İnternet
2024-01-15,Ulaşım,460.63,Fatura Ödemesi,Su
2024-01-10,Restoran,445.68,Market,Migros
2024-01-04,Fatura Ödemesi,208.32,Fatura Ödemesi,İnternet
2024-01-06,Alışveriş,104.13,Restoran,Kebapçı
2024-01-18,Restoran,488.86,Ulaşım,Taksi
2024-01-09,Ulaşım,443.53,Ulaşım,Otobüs
2024-01-13,Alışveriş,29.47,Ulaşım,Tren
2024-01-22,Restoran,279.76,Fatura Ödemesi,Elektrik
2024-01-05,Ulaşım,465.5,Restoran,Pizza
2024-01-11,Alışveriş,145.84,Ulaşım,Tren
2024-01-28,Ulaşım,375.91,Restoran,Pizza
2024-01-07,Ulaşım,21.11,Market,BIM
2024-01-26,Alışveriş,317.3,Restoran,Cafe
2024-01-14,Restoran,360.38,Market,Migros
2024-01-30,Ulaşım,413.2,ATM,ATM Çekimi
2024-01-25,Ulaşım,445.5,Ulaşım,Tren
2024-01-04,Fatura Ödemesi,201.76,Market,Migros
2024-01-09,Alışveriş,430.26,Fatura Ödemesi,Elektrik
2024-01-09,Fatura Ödemesi,70.71,Restoran,Cafe
2024-01-03,Alışveriş,269.08,Market,Carrefour
2024-01-18,Ulaşım,401.99,Fatura Ödemesi,İnternet
2024-01-10,ATM Çekimi,274.99,Restoran,Pizza
2024-01-31,ATM Çekimi,409.09,ATM,ATM Çekimi
2024-01-14,Restoran,243.99,ATM,ATM Çekimi
2024-01-16,Restoran,440.02,Ulaşım,Tren
2024-01-15,Fatura Ödemesi,114.62,Market,BIM
2024-01-01,Alışveriş,460.03,Ulaşım,Taksi
2024-01-19,Restoran,422.63,Market,Carrefour
2024-01-24,Alışveriş,391.0,Restoran,Kebapçı
2024-01-08,Restoran,257.05,Restoran,Pizza
2024-01-16,Ulaşım,71.8,ATM,ATM Çekimi
2024-01-08,Restoran,50.94,ATM,ATM Çekimi
2024-01-27,Alışveriş,76.57,Market,Carrefour
2024-01-28,Alışveriş,69.87,Fatura Ödemesi,İnternet
2024-01-07,Restoran,408.52,Market,Migros
2024-01-29,Restoran,87.54,Market,BIM
2024-01-10,Fatura Ödemesi,454.6,Market,Migros
2024-01-26,ATM Çekimi,316.39,Market,Carrefour
2024-01-10,ATM Çekimi,118.57,Restoran,Cafe
2024-01-28,ATM Çekimi,454.57,Fatura Ödemesi,Elektrik
2024-01-25,Alışveriş,246.51,ATM,ATM Çekimi
2024-01-01,Restoran,465.29,Fatura Ödemesi,Su
2024-01-10,Fatura Ödemesi,473.26,Fatura Ödemesi,Elektrik
2024-01-28,Alışveriş,393.91,Fatura Ödemesi,Elektrik
2024-01-31,ATM Çekimi,16.1,Fatura Ödemesi,İnternet
2024-01-18,ATM Çekimi,343.01,ATM,ATM Çekimi
2024-01-09,Alışveriş,122.31,Ulaşım,Otobüs
2024-01-31,Restoran,141.1,Restoran,Cafe
2024-01-05,Fatura Ödemesi,335.91,Ulaşım,Otobüs
2024-01-10,Restoran,269.04,Restoran,Kebapçı
2024-01-19,Fatura Ödemesi,493.16,Market,Migros
2024-01-14,Ulaşım,187.59,Fatura Ödemesi,İnternet
2024-01-17,Restoran,190.46,Market,BIM
2024-01-01,Fatura Ödemesi,336.89,Restoran,Pizza
2024-01-27,Restoran,183.97,Fatura Ödemesi,Elektrik
2024-01-10,Restoran,408.02,Market,BIM
2024-01-18,Alışveriş,92.32,Ulaşım,Otobüs
2024-01-26,Restoran,251.86,Fatura Ödemesi,Su
2024-01-15,Alışveriş,105.31,ATM,ATM Çekimi
2024-01-12,ATM Çekimi,255.14,Restoran,Pizza
2024-01-20,Fatura Ödemesi,291.45,Restoran,Cafe
2024-01-10,Restoran,50.54,Market,BIM
2024-01-27,Ulaşım,376.91,Fatura Ödemesi,İnternet
2024-01-02,Ulaşım,483.5,Fatura Ödemesi,Elektrik
2024-01-09,Ulaşım,489.75,ATM,ATM Çekimi
2024-01-25,Ulaşım,133.09,Market,Carrefour
2024-01-06,ATM Çekimi,464.69,Fatura Ödemesi,Elektrik
2024-01-24,Restoran,490.39,Restoran,Kebapçı
2024-01-16,Fatura Ödemesi,119.7,ATM,ATM Çekimi
2024-01-19,ATM Çekimi,255.21,Ulaşım,Taksi
2024-01-24,Restoran,164.19,Restoran,Kebapçı
2024-01-19,Alışveriş,164.47,Restoran,Pizza
2024-01-08,Alışveriş,383.68,ATM,ATM Çekimi
2024-01-22,ATM Çekimi,355.59,Restoran,Pizza
2024-01-23,Ulaşım,17.35,Restoran,Pizza
2024-01-20,ATM Çekimi,31.79,Market,Migros
2024-01-06,Ulaşım,497.99,Restoran,Pizza
2024-01-03,Restoran,285.35,Fatura Ödemesi,İnternet
2024-01-22,Fatura Ödemesi,395.34,Restoran,Kebapçı
2024-01-22,Restoran,470.79,Market,BIM
2024-01-12,Alışveriş,211.77,Market,Carrefour
2024-01-11,Alışveriş,110.1,ATM,ATM Çekimi
2024-01-17,Restoran,356.46,Ulaşım,Tren
2024-01-15,Alışveriş,292.18,Market,BIM
2024-01-04,Alışveriş,442.06,Fatura Ödemesi,İnternet
2024-01-01,ATM Çekimi,446.83,Fatura Ödemesi,İnternet
2024-01-30,Ulaşım,298.3,Ulaşım,Tren
2024-01-11,Alışveriş,131.7,Market,Carrefour
2024-01-30,Fatura Ödemesi,489.83,Ulaşım,Otobüs
2024-01-08,ATM Çekimi,422.26,ATM,ATM Çekimi
2024-01-07,Ulaşım,19.94,Fatura Ödemesi,Elektrik
2024-01-29,Ulaşım,157.18,Market,Migros
2024-01-05,Restoran,169.77,Restoran,Kebapçı
2024-01-30,ATM Çekimi,264.06,Restoran,Pizza
2024-01-22,Ulaşım,399.01,Restoran,Pizza
2024-01-19,Ulaşım,273.33,Restoran,Pizza
2024-01-23,Alışveriş,20.57,Restoran,Kebapçı
2024-01-25,Fatura Ödemesi,398.94,Restoran,Cafe
2024-01-03,ATM Çekimi,323.99,Ulaşım,Tren
2024-01-14,Restoran,334.55,Fatura Ödemesi,Su
2024-01-20,Alışveriş,277.38,Market,BIM
2024-01-14,ATM Çekimi,307.5,Restoran,Kebapçı
2024-01-25,Restoran,21.58,Market,BIM
2024-01-04,Alışveriş,416.38,Market,BIM
2024-01-01,Restoran,269.53,Restoran,Cafe
2024-01-25,Fatura Ödemesi,15.05,Market,Migros
2024-01-04,Alışveriş,228.61,Restoran,Pizza
2024-01-15,Ulaşım,100.05,Fatura Ödemesi,Su
2024-01-11,ATM Çekimi,420.83,Restoran,Pizza
2024-01-22,Ulaşım,487.65,Market,Migros
2024-01-02,Restoran,56.41,Ulaşım,Otobüs
2024-01-10,Restoran,156.13,ATM,ATM Çekimi
2024-01-15,Ulaşım,368.71,Restoran,Cafe
2024-01-11,Fatura Ödemesi,417.75,Market,BIM
2024-01-07,Fatura Ödemesi,135.91,Restoran,Pizza
2024-01-24,Ulaşım,446.45,Restoran,Pizza
2024-01-18,Ulaşım,351.25,Fatura Ödemesi,Su
2024-01-23,Restoran,23.94,Restoran,Kebapçı
2024-01-27,Fatura Ödemesi,346.98,Restoran,Cafe
2024-01-21,Alışveriş,59.28,Ulaşım,Tren
2024-01-30,Fatura Ödemesi,273.44,Fatura Ödemesi,İnternet
2024-01-26,Ulaşım,141.61,Restoran,Pizza
2024-01-25,Ulaşım,481.44,Fatura Ödemesi,Elektrik
2024-01-11,Fatura Ödemesi,457.8,Restoran,Cafe
2024-01-21,Restoran,230.1,Market,BIM
2024-01-30,Ulaşım,184.81,Fatura Ödemesi,Elektrik
2024-01-19,Restoran,154.17,Market,Migros
2024-01-09,Alışveriş,411.17,Market,Carrefour
2024-01-12,ATM Çekimi,452.17,Fatura Ödemesi,Su
2024-01-14,Ulaşım,450.27,Fatura Ödemesi,Elektrik
2024-01-26,Restoran,453.86,Ulaşım,Tren
2024-01-12,Fatura Ödemesi,351.62,Ulaşım,Tren
2024-01-31,Fatura Ödemesi,92.73,Restoran,Pizza
2024-01-10,Restoran,168.58,Ulaşım,Tren
2024-01-02,Alışveriş,404.48,Market,BIM
2024-01-30,Alışveriş,89.72,Restoran,Cafe
2024-01-15,Alışveriş,440.37,Fatura Ödemesi,Elektrik
2024-01-18,Ulaşım,134.73,Restoran,Kebapçı
2024-01-08,ATM Çekimi,379.3,Ulaşım,Tren
2024-01-18,Ulaşım,346.49,Restoran,Pizza
2024-01-14,Fatura Ödemesi,399.72,Restoran,Kebapçı
2024-01-09,Restoran,341.22,Restoran,Kebapçı
2024-01-09,ATM Çekimi,164.38,Ulaşım,Otobüs
2024-01-29,Fatura Ödemesi,153.83,Restoran,Pizza
2024-01-22,Fatura Ödemesi,135.54,ATM,ATM Çekimi
2024-01-06,Fatura Ödemesi,280.09,Market,BIM
2024-01-01,Restoran,151.59,Market,BIM
2024-01-27,Fatura Ödemesi,483.3,ATM,ATM Çekimi
2024-01-23,Alışveriş,58.93,Market,Carrefour
2024-01-17,Restoran,350.85,Ulaşım,Otobüs
2024-01-31,Fatura Ödemesi,280.06,Fatura Ödemesi,Elektrik
2024-01-17,Ulaşım,346.52,Fatura Ödemesi,Su
2024-01-19,Fatura Ödemesi,180.26,Restoran,Cafe
2024-01-14,Restoran,51.02,Fatura Ödemesi,İnternet
2024-01-22,Restoran,313.84,Ulaşım,Tren
2024-01-30,ATM Çekimi,323.66,Restoran,Kebapçı
2024-01-30,Restoran,81.85,Fatura Ödemesi,Su
2024-01-15,Alışveriş,423.77,Restoran,Cafe
2024-01-09,Alışveriş,366.29,Market,Migros
2024-01-30,ATM Çekimi,17.07,Fatura Ödemesi,Elektrik
2024-01-19,Ulaşım,311.35,Ulaşım,Otobüs
2024-01-12,ATM Çekimi,458.13,ATM,ATM Çekimi
2024-01-02,Fatura Ödemesi,499.93,Ulaşım,Tren
2024-01-19,Ulaşım,71.97,Market,Migros
2024-01-15,Alışveriş,179.7,Ulaşım,Otobüs
2024-01-09,Alışveriş,404.22,Market,BIM
2024-01-07,Restoran,340.79,Fatura Ödemesi,İnternet
2024-01-09,Restoran,69.12,ATM,ATM Çekimi
2024-01-28,ATM Çekimi,408.89,Fatura Ödemesi,Su
2024-01-23,Alışveriş,89.78,Ulaşım,Tren
2024-01-08,Fatura Ödemesi,424.77,Fatura Ödemesi,İnternet
2024-01-06,Fatura Ödemesi,238.73,Ulaşım,Otobüs
2024-01-02,ATM Çekimi,43.33,Market,BIM
2024-01-10,Fatura Ödemesi,301.48,Ulaşım,Tren
2024-01-08,Restoran,427.96,ATM,ATM Çekimi
2024-01-13,Restoran,258.7,Restoran,Pizza
2024-01-07,ATM Çekimi,346.37,Market,BIM
2024-01-09,Fatura Ödemesi,311.24,Ulaşım,Tren
2024-01-22,Restoran,136.81,Fatura Ödemesi,İnternet
2024-01-07,Ulaşım,44.51,ATM,ATM Çekimi
2024-01-25,Restoran,203.5,ATM,ATM Çekimi
2024-01-01,Ulaşım,188.79,ATM,ATM Çekimi
2024-01-29,Alışveriş,360.27,ATM,ATM Çekimi
2024-01-24,Alışveriş,387.54,Restoran,Pizza
2024-01-19,Restoran,329.02,Restoran,Cafe
2024-01-30,ATM Çekimi,219.75,Fatura Ödemesi,Elektrik
2024-01-10,ATM Çekimi,397.76,Ulaşım,Taksi
2024-01-02,ATM Çekimi,414.07,Restoran,Cafe
2024-01-13,Ulaşım,333.77,Ulaşım,Taksi
2024-01-16,Restoran,354.97,Fatura Ödemesi,Su
2024-01-14,Fatura Ödemesi,29.71,Restoran,Pizza
2024-01-09,Ulaşım,86.92,Fatura Ödemesi,İnternet
2024-01-22,Fatura Ödemesi,20.8,Restoran,Kebapçı
2024-01-25,Ulaşım,45.39,ATM,ATM Çekimi
2024-01-26,Ulaşım,155.54,Fatura Ödemesi,İnternet
2024-01-04,ATM Çekimi,83.17,Fatura Ödemesi,Su
2024-01-24,Ulaşım,180.0,Fatura Ödemesi,Elektrik
2024-01-10,Restoran,475.32,Restoran,Kebapçı
2024-01-20,Restoran,39.11,Ulaşım,Taksi
2024-01-14,ATM Çekimi,468.15,Ulaşım,Tren
2024-01-15,Restoran,161.72,Ulaşım,Tren
2024-01-07,ATM Çekimi,277.36,Ulaşım,Otobüs
2024-01-12,Alışveriş,55.63,Fatura Ödemesi,Elektrik
2024-01-22,Fatura Ödemesi,96.86,Fatura Ödemesi,İnternet
2024-01-12,ATM Çekimi,252.33,Fatura Ödemesi,İnternet
2024-01-03,Fatura Ödemesi,166.69,Fatura Ödemesi,Su
2024-01-12,Alışveriş,101.6,Restoran,Kebapçı
2024-01-31,Fatura Ödemesi,373.26,ATM,ATM Çekimi
2024-01-08,Ulaşım,164.18,Market,BIM
2024-01-25,Fatura Ödemesi,135.41,Ulaşım,Tren
2024-01-10,ATM Çekimi,485.45,ATM,ATM Çekimi
2024-01-16,Fatura Ödemesi,47.12,Ulaşım,Tren
2024-01-15,Restoran,42.25,Ulaşım,Tren
2024-01-03,Ulaşım,215.97,ATM,ATM Çekimi
2024-01-15,Ulaşım,186.07,ATM,ATM Çekimi
2024-01-24,Fatura Ödemesi,243.97,ATM,ATM Çekimi
2024-01-16,Restoran,488.24,Market,Carrefour
2024-01-19,Fatura Ödemesi,244.49,Ulaşım,Tren
2024-01-19,Restoran,93.99,ATM,ATM Çekimi
2024-01-26,Fatura Ödemesi,206.5,Ulaşım,Tren
2024-01-16,Ulaşım,77.76,Market,BIM
2024-01-13,Alışveriş,207.48,Restoran,Kebapçı
2024-01-19,Restoran,238.66,Fatura Ödemesi,İnternet
2024-01-31,Alışveriş,385.26,Fatura Ödemesi,İnternet
2024-01-02,Alışveriş,318.65,Fatura Ödemesi,İnternet
2024-01-04,Fatura Ödemesi,200.35,ATM,ATM Çekimi
2024-01-08,Fatura Ödemesi,417.33,Market,Migros
2024-01-02,ATM Çekimi,386.94,Restoran,Kebapçı
2024-01-12,Alışveriş,304.11,Fatura Ödemesi,Su
2024-01-25,Fatura Ödemesi,438.14,Ulaşım,Tren
2024-01-28,Restoran,239.42,ATM,ATM Çekimi
2024-01-11,Restoran,402.92,Restoran,Pizza
2024-01-22,Restoran,142.09,Market,Migros
2024-01-08,Ulaşım,450.09,Fatura Ödemesi,Elektrik
2024-01-26,Alışveriş,259.8,Market,Carrefour
2024-01-31,Fatura Ödemesi,131.15,Restoran,Pizza
2024-01-27,Ulaşım,356.76,Fatura Ödemesi,Elektrik
2024-01-17,Fatura Ödemesi,422.87,Market,BIM
2024-01-27,ATM Çekimi,357.51,Ulaşım,Taksi
2024-01-20,Fatura Ödemesi,235.7,Ulaşım,Tren
2024-01-20,Fatura Ödemesi,308.21,Ulaşım,Taksi
2024-01-22,Alışveriş,343.47,ATM,ATM Çekimi
2024-01-10,ATM Çekimi,425.24,Fatura Ödemesi,Su
2024-01-07,Alışveriş,96.33,Market,BIM
2024-01-23,Fatura Ödemesi,129.11,Restoran,Kebapçı
2024-01-09,Fatura Ödemesi,271.01,ATM,ATM Çekimi
2024-01-03,ATM Çekimi,82.03,Fatura Ödemesi,Elektrik
2024-01-12,Alışveriş,371.72,Restoran,Kebapçı
2024-01-23,Restoran,364.43,Ulaşım,Otobüs
2024-01-21,Restoran,362.41,ATM,ATM Çekimi
2024-01-27,Alışveriş,83.88,Market,BIM
2024-01-17,ATM Çekimi,30.81,Restoran,Kebapçı
2024-01-30,Restoran,492.15,Market,Carrefour
2024-01-26,Restoran,169.14,Restoran,Pizza
2024-01-26,Fatura Ödemesi,432.6,Restoran,Pizza
2024-01-18,Fatura Ödemesi,412.52,Fatura Ödemesi,İnternet
2024-01-02,Fatura Ödemesi,126.34,Ulaşım,Tren
2024-01-14,Ulaşım,395.84,Ulaşım,Taksi
2024-01-06,Fatura Ödemesi,316.5,ATM,ATM Çekimi
2024-01-14,Fatura Ödemesi,463.32,Fatura Ödemesi,Su
2024-01-27,Alışveriş,435.35,Restoran,Cafe
2024-01-02,ATM Çekimi,285.68,Ulaşım,Otobüs
2024-01-02,Alışveriş,383.39,ATM,ATM Çekimi
2024-01-30,ATM Çekimi,185.36,Ulaşım,Taksi
2024-01-08,Restoran,20.35,ATM,ATM Çekimi
2024-01-29,Alışveriş,420.26,ATM,ATM Çekimi
2024-01-25,Alışveriş,274.56,Restoran,Pizza
2024-01-04,ATM Çekimi,264.94,Ulaşım,Tren
2024-01-06,Restoran,230.68,Market,BIM
2024-01-15,Alışveriş,344.94,Restoran,Kebapçı
2024-01-15,Fatura Ödemesi,290.93,Market,BIM
2024-01-05,Alışveriş,370.18,Fatura Ödemesi,İnternet
2024-01-25,Restoran,114.63,ATM,ATM Çekimi
2024-01-26,Alışveriş,393.32,Market,Carrefour
2024-01-25,Ulaşım,121.67,ATM,ATM Çekimi
2024-01-09,Alışveriş,474.59,Market,Migros
2024-01-05,Restoran,40.52,Market,BIM
2024-01-19,Ulaşım,44.1,ATM,ATM Çekimi
2024-01-16,Fatura Ödemesi,464.84,Market,Migros
2024-01-10,Fatura Ödemesi,392.23,Fatura Ödemesi,İnternet
2024-01-18,ATM Çekimi,254.23,ATM,ATM Çekimi
2024-01-10,Alışveriş,464.22,ATM,ATM Çekimi
2024-01-20,ATM Çekimi,119.61,ATM,ATM Çekimi
2024-01-22,Restoran,443.17,Fatura Ödemesi,İnternet
2024-01-04,Fatura Ödemesi,417.13,Restoran,Cafe
2024-01-10,Ulaşım,407.88,ATM,ATM Çekimi
2024-01-04,Alışveriş,238.72,ATM,ATM Çekimi
2024-01-25,Restoran,28.8,ATM,ATM Çekimi
2024-01-30,Alışveriş,357.1,Fatura Ödemesi,İnternet
2024-01-10,Restoran,86.98,Market,Migros
2024-01-07,Restoran,21.36,Fatura Ödemesi,Elektrik
2024-01-18,Alışveriş,207.2,Restoran,Pizza
2024-01-20,ATM Çekimi,51.49,Market,Migros
2024-01-19,Ulaşım,353.59,Market,Migros
2024-01-18,Alışveriş,95.6,Restoran,Pizza
2024-01-13,Alışveriş,325.91,Market,Migros
2024-01-17,Restoran,489.06,ATM,ATM Çekimi
2024-01-09,Restoran,268.89,Restoran,Pizza
2024-01-14,Ulaşım,65.09,Market,Carrefour
