Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024-01-19,ATM Çekimi,482.36,Fatura Ödemesi,Elektrik
2024-01-01,Restoran,413.47,Restoran,Cafe
2024-01-07,ATM Çekimi,287.34,Fatura Ödemesi,Elektrik
2024-01-30,Ulaşım,472.95,Market,Migros
2024-01-15,Alışveriş,390.01,Fatura Ödemesi,Su
2024-01-14,Restoran,411.05,ATM,ATM Çekimi
2024-01-14,ATM Çekimi,182.09,Market,Carrefour
2024-01-04,Ulaşım,233.35,Restoran,Pizza
2024-01-06,ATM Çekimi,476.66,ATM,ATM Çekimi
2024-01-07,ATM Çekimi,271.78,ATM,ATM Çekimi
2024-01-26,ATM Çekimi,433.58,ATM,ATM Çekimi
2024-01-03,Alışveriş,156.15,Ulaşım,Taksi
2024-01-13,Alışveriş,70.68,Market,BIM
2024-01-12,ATM Çekimi,114.51,ATM,ATM Çekimi
2024-01-05,Restoran,443.98,Fatura Ödemesi,Su
2024-01-10,Restoran,330.8,Restoran,Pizza
2024-01-24,Alışveriş,375.49,ATM,ATM Çekimi
2024-01-23,Alışveriş,361.69,ATM,ATM Çekimi
2024-01-05,Restoran,403.11,Fatura Ödemesi,Elektrik
2024-01-23,Restoran,104.35,Fatura Ödemesi,Su
2024-01-08,ATM Çekimi,169.47,Ulaşım,Otobüs
2024-01-22,Fatura Ödemesi,141.62,Market,BIM
2024-01-08,Fatura Ödemesi,299.36,Fatura Ödemesi,Elektrik
2024-01-20,Fatura Ödemesi,192.12,ATM,ATM Çekimi
2024-01-17,Fatura Ödemesi,407.91,Market,Migros
2024-01-17,Ulaşım,75.18,Ulaşım,Tren
2024-01-05,Fatura Ödemesi,189.08,ATM,ATM Çekimi
2024-01-22,Ulaşım,101.26,Market,Carrefour
2024-01-01,Fatura Ödemesi,143.99,Fatura Ödemesi,İnternet
2024-01-12,Restoran,461.35,ATM,ATM Çekimi
2024-01-16,ATM Çekimi,17.81,Ulaşım,Taksi
2024-01-10,Fatura Ödemesi,84.51,Restoran,Kebapçı
2024-01-04,Ulaşım,38.96,Restoran,Cafe
2024-01-23,Alışveriş,209.9,ATM,ATM Çekimi
2024-01-09,ATM Çekimi,250.28,Restoran,Pizza
2024-01-24,Alışveriş,419.12,Market,BIM
2024-01-05,Ulaşım,252.08,Fatura Ödemesi,İnternet
2024-01-30,ATM Çekimi,352.02,Fatura Ödemesi,Su
2024-01-04,ATM Çekimi,439.43,Restoran,Pizza
2024-01-02,Alışveriş,212.66,ATM,ATM Çekimi
2024-01-15,ATM Çekimi,482.54,Restoran,Cafe
2024-01-22,Alışveriş,226.06,Ulaşım,Otobüs
2024-01-15,Alışveriş,428.01,Ulaşım,Tren
2024-01-05,Alışveriş,196.66,ATM,ATM Çekimi
2024-01-24,Ulaşım,360.88,Ulaşım,Tren
2024-01-05,Fatura Ödemesi,90.48,ATM,ATM Çekimi
2024-01-19,ATM Çekimi,316.34,Market,BIM
2024-01-09,Ulaşım,458.87,ATM,ATM Çekimi
2024-01-25,ATM Çekimi,492.19,Fatura Ödemesi,Su
2024-01-28,Fatura Ödemesi,303.08,Ulaşım,Tren
