Yıl,Ay,Gün,Tarih,İşlem Türü,Tutar,Harcama Kategorisi,Açıklama
2024,Ocak,29,2024-01-29,Fatura Ödemesi,75.87,Ulaşım,Taksi
2024,Ocak,11,2024-01-11,Restoran,82.69,Ulaşım,Otobüs
2024,Ocak,1,2024-01-01,Alışveriş,81.72,Restoran,Cafe
2024,Ocak,4,2024-01-04,ATM Çekimi,12.08,Restoran,Pizza
2024,Ocak,10,2024-01-10,Ulaşım,49.7,Fatura Ödemesi,İnternet
2024,Ocak,23,2024-01-23,ATM Çekimi,309.85,ATM,ATM Çekimi
2024,Ocak,20,2024-01-20,Ulaşım,260.58,Fatura Ödemesi,Su
2024,Ocak,22,2024-01-22,ATM Çekimi,67.03,ATM,ATM Çekimi
2024,Ocak,16,2024-01-16,Restoran,450.24,ATM,ATM Çekimi
2024,Ocak,1,2024-01-01,ATM Çekimi,59.54,ATM,ATM Çekimi
2024,Ocak,23,2024-01-23,Ulaşım,226.95,Ulaşım,Otobüs
2024,Ocak,23,2024-01-23,Restoran,84.98,Fatura Ödemesi,Elektrik
2024,Ocak,4,2024-01-04,Ulaşım,438.94,Market,Carrefour
2024,Ocak,9,2024-01-09,Restoran,426.91,Fatura Ödemesi,Su
2024,Ocak,4,2024-01-04,Alışveriş,267.69,Market,Migros
2024,Ocak,27,2024-01-27,Fatura Ödemesi,256.08,ATM,ATM Çekimi
2024,Ocak,11,2024-01-11,Alışveriş,468.07,Market,BIM
2024,Ocak,25,2024-01-25,Restoran,200.12,Fatura Ödemesi,Su
2024,Ocak,27,2024-01-27,ATM Çekimi,337.81,Restoran,Pizza
2024,Ocak,30,2024-01-30,Fatura Ödemesi,177.43,ATM,ATM Çekimi
2024,Ocak,19,2024-01-19,ATM Çekimi,39.89,ATM,ATM Çekimi
2024,Ocak,15,2024-01-15,Alışveriş,352.33,Restoran,Kebapçı
2024,Ocak,22,2024-01-22,ATM Çekimi,240.61,Restoran,Kebapçı
2024,Ocak,6,2024-01-06,ATM Çekimi,438.1,Market,Migros
2024,Ocak,11,2024-01-11,Restoran,108.1,Ulaşım,Taksi
2024,Ocak,21,2024-01-21,Fatura Ödemesi,300.58,Restoran,Kebapçı
2024,Ocak,19,2024-01-19,Restoran,234.39,ATM,ATM Çekimi
2024,Ocak,24,2024-01-24,Restoran,133.43,ATM,ATM Çekimi
2024,Ocak,29,2024-01-29,Fatura Ödemesi,333.88,ATM,ATM Çekimi
2024,Ocak,22,2024-01-22,Ulaşım,177.13,Ulaşım,Taksi
2024,Ocak,4,2024-01-04,Fatura Ödemesi,461.08,Restoran,Cafe
2024,Ocak,10,2024-01-10,ATM Çekimi,338.93,Fatura Ödemesi,Su
2024,Ocak,25,2024-01-25,Ulaşım,31.52,Fatura Ödemesi,Su
2024,Ocak,26,2024-01-26,Restoran,191.47,ATM,ATM Çekimi
2024,Ocak,14,2024-01-14,ATM Çekimi,44.75,Ulaşım,Tren
2024,Ocak,8,2024-01-08,Restoran,206.5,Fatura Ödemesi,İnternet
2024,Ocak,28,2024-01-28,Alışveriş,478.12,Ulaşım,Otobüs
2024,Ocak,31,2024-01-31,Ulaşım,396.08,Ulaşım,Otobüs
2024,Ocak,23,2024-01-23,Fatura Ödemesi,132.4,Ulaşım,Otobüs
2024,Ocak,23,2024-01-23,Restoran,194.16,Ulaşım,Otobüs
2024,Ocak,30,2024-01-30,ATM Çekimi,326.33,Fatura Ödemesi,Su
2024,Ocak,29,2024-01-29,Restoran,455.81,Market,Migros
2024,Ocak,10,2024-01-10,Restoran,275.16,Ulaşım,Otobüs
2024,Ocak,13,2024-01-13,Fatura Ödemesi,337.49,Restoran,Cafe
2024,Ocak,8,2024-01-08,Ulaşım,363.73,Market,Carrefour
2024,Ocak,8,2024-01-08,Ulaşım,402.33,Fatura Ödemesi,Su
2024,Ocak,1,2024-01-01,ATM Çekimi,498.34,Restoran,Pizza
2024,Ocak,30,2024-01-30,Alışveriş,389.79,Fatura Ödemesi,İnternet
2024,Ocak,4,2024-01-04,Restoran,20.07,Restoran,Kebapçı
2024,Ocak,12,2024-01-12,Fatura Ödemesi,415.61,Restoran,Pizza
2024,Ocak,13,2024-01-13,Alışveriş,383.75,Restoran,Kebapçı
2024,Ocak,16,2024-01-16,Fatura Ödemesi,351.76,Restoran,Kebapçı
2024,Ocak,9,2024-01-09,Fatura Ödemesi,485.12,Fatura Ödemesi,Su
2024,Ocak,13,2024-01-13,Fatura Ödemesi,367.45,Market,Migros
2024,Ocak,24,2024-01-24,Restoran,464.26,Ulaşım,Tren
2024,Ocak,9,2024-01-09,Fatura Ödemesi,25.05,Restoran,Kebapçı
2024,Ocak,27,2024-01-27,ATM Çekimi,367.49,Ulaşım,Taksi
2024,Ocak,18,2024-01-18,Ulaşım,303.86,Ulaşım,Otobüs
2024,Ocak,19,2024-01-19,ATM Çekimi,335.16,Market,BIM
2024,Ocak,15,2024-01-15,ATM Çekimi,231.68,ATM,ATM Çekimi
2024,Ocak,21,2024-01-21,Fatura Ödemesi,204.61,Market,Migros
2024,Ocak,17,2024-01-17,Restoran,89.12,Restoran,Cafe
2024,Ocak,31,2024-01-31,Restoran,114.0,Ulaşım,Tren
